"QueryType","Text","Strings","Name","Type","CharacterSet","Section","DataLength","TTL"
"TXT","System.String[]","System.String[]","bcdme.com.tr","TXT","Unicode","Answer","24","600"
"TXT","System.String[]","System.String[]","bcdme.com.tr","TXT","Unicode","Answer","16","600"
"A",,,"bcdme.com.tr","A","Unicode","Answer","4","3600"
"SOA",,,"bcdme.com.tr","SOA","Unicode","Answer","126","600"
"MX",,,"bcdme.com.tr","MX","Unicode","Answer","60","600"
"MX",,,"bcdme.com.tr","MX","Unicode","Answer","60","600"
"MX",,,"bcdme.com.tr","MX","Unicode","Answer","58","600"
"NS",,,"bcdme.com.tr","NS","Unicode","Answer","50","600"
"NS",,,"bcdme.com.tr","NS","Unicode","Answer","50","600"
"NS",,,"bcdme.com.tr","NS","Unicode","Answer","52","600"
"NS",,,"bcdme.com.tr","NS","Unicode","Answer","52","600"
"MX",,,"bookinturkey.com","MX","Unicode","Answer","60","3600"
"MX",,,"bookinturkey.com","MX","Unicode","Answer","60","3600"
"MX",,,"bookinturkey.com","MX","Unicode","Answer","58","3600"
"SOA",,,"bookinturkey.com","SOA","Unicode","Answer","138","3600"
"A",,,"bookinturkey.com","A","Unicode","Answer","4","3600"
"TXT","System.String[]","System.String[]","bookinturkey.com","TXT","Unicode","Answer","24","3600"
"NS",,,"bookinturkey.com","NS","Unicode","Answer","52","3600"
"NS",,,"bookinturkey.com","NS","Unicode","Answer","52","3600"
"MX",,,"kocturizm.com","MX","Unicode","Answer","60","3600"
"MX",,,"kocturizm.com","MX","Unicode","Answer","60","3600"
"MX",,,"kocturizm.com","MX","Unicode","Answer","58","3600"
"SOA",,,"kocturizm.com","SOA","Unicode","Answer","138","3600"
"TXT","System.String[]","System.String[]","kocturizm.com","TXT","Unicode","Answer","16","3600"
"TXT","System.String[]","System.String[]","kocturizm.com","TXT","Unicode","Answer","24","3600"
"TXT","System.String[]","System.String[]","kocturizm.com","TXT","Unicode","Answer","16","3600"
"NS",,,"kocturizm.com","NS","Unicode","Answer","52","3600"
"NS",,,"kocturizm.com","NS","Unicode","Answer","52","3600"
"MX",,,"setur.com","MX","Unicode","Answer","58","3600"
"MX",,,"setur.com","MX","Unicode","Answer","60","3600"
"MX",,,"setur.com","MX","Unicode","Answer","60","3600"
"TXT","System.String[]","System.String[]","setur.com","TXT","Unicode","Answer","16","3600"
"TXT","System.String[]","System.String[]","setur.com","TXT","Unicode","Answer","24","3600"
"TXT","System.String[]","System.String[]","setur.com","TXT","Unicode","Answer","16","3600"
"A",,,"setur.com","A","Unicode","Answer","4","3600"
"SOA",,,"setur.com","SOA","Unicode","Answer","138","3600"
"NS",,,"setur.com","NS","Unicode","Answer","52","3600"
"NS",,,"setur.com","NS","Unicode","Answer","52","3600"
"TXT","System.String[]","System.String[]","Setur.software","TXT","Unicode","Answer","24","43200"
"TXT","System.String[]","System.String[]","Setur.software","TXT","Unicode","Answer","16","43200"
"MX",,,"Setur.software","MX","Unicode","Answer","58","3600"
"MX",,,"Setur.software","MX","Unicode","Answer","60","3600"
"MX",,,"Setur.software","MX","Unicode","Answer","60","3600"
"SOA",,,"Setur.software","SOA","Unicode","Answer","150","3600"
"NS",,,"Setur.software","NS","Unicode","Answer","50","3600"
"NS",,,"Setur.software","NS","Unicode","Answer","50","3600"
"NS",,,"Setur.software","NS","Unicode","Answer","50","3600"
"NS",,,"Setur.software","NS","Unicode","Answer","52","3600"
"SOA",,,"seturacademia.com","SOA","Unicode","Answer","116","43200"
"TXT","System.String[]","System.String[]","seturacademia.com","TXT","Unicode","Answer","16","900"
"TXT","System.String[]","System.String[]","seturacademia.com","TXT","Unicode","Answer","16","900"
"TXT","System.String[]","System.String[]","seturacademia.com","TXT","Unicode","Answer","16","900"
"MX",,,"seturacademia.com","MX","Unicode","Answer","108","900"
"A",,,"seturacademia.com","A","Unicode","Answer","4","900"
"NS",,,"seturacademia.com","NS","Unicode","Answer","40","43200"
"NS",,,"seturacademia.com","NS","Unicode","Answer","40","43200"
"NS",,,"seturacademia.com","NS","Unicode","Answer","40","43200"
"MX",,,"seturas.com.tr","MX","Unicode","Answer","60","600"
"MX",,,"seturas.com.tr","MX","Unicode","Answer","58","600"
"MX",,,"seturas.com.tr","MX","Unicode","Answer","60","600"
"SOA",,,"seturas.com.tr","SOA","Unicode","Answer","130","600"
"A",,,"seturas.com.tr","A","Unicode","Answer","4","600"
"TXT","System.String[]","System.String[]","seturas.com.tr","TXT","Unicode","Answer","16","600"
"TXT","System.String[]","System.String[]","seturas.com.tr","TXT","Unicode","Answer","24","600"
"TXT","System.String[]","System.String[]","seturas.com.tr","TXT","Unicode","Answer","16","600"
"NS",,,"seturas.com.tr","NS","Unicode","Answer","52","600"
"NS",,,"seturas.com.tr","NS","Unicode","Answer","50","600"
"NS",,,"seturas.com.tr","NS","Unicode","Answer","52","600"
"NS",,,"seturas.com.tr","NS","Unicode","Answer","50","600"
"TXT","System.String[]","System.String[]","seturday.com","TXT","Unicode","Answer","16","3600"
"TXT","System.String[]","System.String[]","seturday.com","TXT","Unicode","Answer","16","3600"
"TXT","System.String[]","System.String[]","seturday.com","TXT","Unicode","Answer","24","3600"
"MX",,,"seturday.com","MX","Unicode","Answer","58","3600"
"MX",,,"seturday.com","MX","Unicode","Answer","60","3600"
"MX",,,"seturday.com","MX","Unicode","Answer","60","3600"
"SOA",,,"seturday.com","SOA","Unicode","Answer","150","3600"
"A",,,"seturday.com","A","Unicode","Answer","4","3600"
"NS",,,"seturday.com","NS","Unicode","Answer","50","34195"
"NS",,,"seturday.com","NS","Unicode","Answer","50","34195"
"NS",,,"seturday.com","NS","Unicode","Answer","50","34195"
"NS",,,"seturday.com","NS","Unicode","Answer","52","34195"
"TXT","System.String[]","System.String[]","seturdutyfree.com","TXT","Unicode","Answer","24","3600"
"TXT","System.String[]","System.String[]","seturdutyfree.com","TXT","Unicode","Answer","16","3600"
"MX",,,"seturdutyfree.com","MX","Unicode","Answer","60","3600"
"MX",,,"seturdutyfree.com","MX","Unicode","Answer","58","3600"
"MX",,,"seturdutyfree.com","MX","Unicode","Answer","60","3600"
"SOA",,,"seturdutyfree.com","SOA","Unicode","Answer","150","3600"
"A",,,"seturdutyfree.com","A","Unicode","Answer","4","3600"
"NS",,,"seturdutyfree.com","NS","Unicode","Answer","50","43200"
"NS",,,"seturdutyfree.com","NS","Unicode","Answer","52","43200"
"NS",,,"seturdutyfree.com","NS","Unicode","Answer","50","43200"
"NS",,,"seturdutyfree.com","NS","Unicode","Answer","50","43200"
"MX",,,"seturmice.com","MX","Unicode","Answer","60","3600"
"MX",,,"seturmice.com","MX","Unicode","Answer","58","3600"
"MX",,,"seturmice.com","MX","Unicode","Answer","60","3600"
"SOA",,,"seturmice.com","SOA","Unicode","Answer","138","3600"
"A",,,"seturmice.com","A","Unicode","Answer","4","3600"
"TXT","System.String[]","System.String[]","seturmice.com","TXT","Unicode","Answer","16","3600"
"TXT","System.String[]","System.String[]","seturmice.com","TXT","Unicode","Answer","16","3600"
"TXT","System.String[]","System.String[]","seturmice.com","TXT","Unicode","Answer","16","3600"
"TXT","System.String[]","System.String[]","seturmice.com","TXT","Unicode","Answer","24","3600"
"NS",,,"seturmice.com","NS","Unicode","Answer","52","3600"
"NS",,,"seturmice.com","NS","Unicode","Answer","52","3600"
"TXT","System.String[]","System.String[]","seturselect.com","TXT","Unicode","Answer","24","3600"
"MX",,,"seturselect.com","MX","Unicode","Answer","60","3600"
"MX",,,"seturselect.com","MX","Unicode","Answer","58","3600"
"MX",,,"seturselect.com","MX","Unicode","Answer","60","3600"
"SOA",,,"seturselect.com","SOA","Unicode","Answer","150","3600"
"A",,,"seturselect.com","A","Unicode","Answer","4","3600"
"NS",,,"seturselect.com","NS","Unicode","Answer","52","36094"
"NS",,,"seturselect.com","NS","Unicode","Answer","50","36094"
"NS",,,"seturselect.com","NS","Unicode","Answer","50","36094"
"NS",,,"seturselect.com","NS","Unicode","Answer","50","36094"
"MX",,,"seturvize.com","MX","Unicode","Answer","60","3600"
"MX",,,"seturvize.com","MX","Unicode","Answer","58","3600"
"MX",,,"seturvize.com","MX","Unicode","Answer","60","3600"
"SOA",,,"seturvize.com","SOA","Unicode","Answer","138","3600"
"A",,,"seturvize.com","A","Unicode","Answer","4","3600"
"TXT","System.String[]","System.String[]","seturvize.com","TXT","Unicode","Answer","16","3600"
"TXT","System.String[]","System.String[]","seturvize.com","TXT","Unicode","Answer","16","3600"
"TXT","System.String[]","System.String[]","seturvize.com","TXT","Unicode","Answer","16","3600"
"TXT","System.String[]","System.String[]","seturvize.com","TXT","Unicode","Answer","24","3600"
"TXT","System.String[]","System.String[]","seturvize.com","TXT","Unicode","Answer","16","3600"
"NS",,,"seturvize.com","NS","Unicode","Answer","52","3600"
"NS",,,"seturvize.com","NS","Unicode","Answer","52","3600"
"TXT","System.String[]","System.String[]","bcdtravel.com.tr","TXT","Unicode","Answer","16","3600"
"TXT","System.String[]","System.String[]","bcdtravel.com.tr","TXT","Unicode","Answer","24","3600"
"TXT","System.String[]","System.String[]","bcdtravel.com.tr","TXT","Unicode","Answer","16","3600"
"MX",,,"bcdtravel.com.tr","MX","Unicode","Answer","58","3600"
"MX",,,"bcdtravel.com.tr","MX","Unicode","Answer","60","3600"
"MX",,,"bcdtravel.com.tr","MX","Unicode","Answer","60","3600"
"A",,,"bcdtravel.com.tr","A","Unicode","Answer","4","3600"
"SOA",,,"bcdtravel.com.tr","SOA","Unicode","Answer","138","3600"
"NS",,,"bcdtravel.com.tr","NS","Unicode","Answer","52","3600"
"NS",,,"bcdtravel.com.tr","NS","Unicode","Answer","52","3600"
"TXT","System.String[]","System.String[]","kisiyeozelsetur.com.tr","TXT","Unicode","Answer","24","1800"
"TXT","System.String[]","System.String[]","kisiyeozelsetur.com.tr","TXT","Unicode","Answer","16","1800"
"MX",,,"kisiyeozelsetur.com.tr","MX","Unicode","Answer","58","1800"
"MX",,,"kisiyeozelsetur.com.tr","MX","Unicode","Answer","60","1800"
"MX",,,"kisiyeozelsetur.com.tr","MX","Unicode","Answer","60","1800"
"SOA",,,"kisiyeozelsetur.com.tr","SOA","Unicode","Answer","114","1800"
"A",,,"kisiyeozelsetur.com.tr","A","Unicode","Answer","4","1800"
"NS",,,"kisiyeozelsetur.com.tr","NS","Unicode","Answer","48","1800"
"NS",,,"kisiyeozelsetur.com.tr","NS","Unicode","Answer","42","1800"
"SOA",,,"seturbiz.com","SOA","Unicode","Answer","126","600"
"A",,,"seturbiz.com","A","Unicode","Answer","4","600"
"MX",,,"seturbiz.com","MX","Unicode","Answer","58","600"
"MX",,,"seturbiz.com","MX","Unicode","Answer","60","600"
"MX",,,"seturbiz.com","MX","Unicode","Answer","60","600"
"TXT","System.String[]","System.String[]","seturbiz.com","TXT","Unicode","Answer","16","600"
"TXT","System.String[]","System.String[]","seturbiz.com","TXT","Unicode","Answer","24","600"
"TXT","System.String[]","System.String[]","seturbiz.com","TXT","Unicode","Answer","16","600"
"NS",,,"seturbiz.com","NS","Unicode","Answer","50","600"
"NS",,,"seturbiz.com","NS","Unicode","Answer","52","600"
"NS",,,"seturbiz.com","NS","Unicode","Answer","52","600"
"NS",,,"seturbiz.com","NS","Unicode","Answer","50","600"
"TXT","System.String[]","System.String[]","setair.com.tr","TXT","Unicode","Answer","24","300"
"MX",,,"setair.com.tr","MX","Unicode","Answer","60","300"
"MX",,,"setair.com.tr","MX","Unicode","Answer","58","300"
"MX",,,"setair.com.tr","MX","Unicode","Answer","60","300"
"SOA",,,"setair.com.tr","SOA","Unicode","Answer","150","3600"
"A",,,"setair.com.tr","A","Unicode","Answer","4","300"
"NS",,,"setair.com.tr","NS","Unicode","Answer","52","42443"
"NS",,,"setair.com.tr","NS","Unicode","Answer","50","42443"
"NS",,,"setair.com.tr","NS","Unicode","Answer","50","42443"
"NS",,,"setair.com.tr","NS","Unicode","Answer","50","42443"
"MX",,,"setur.com.tr","MX","Unicode","Answer","46","600"
"MX",,,"setur.com.tr","MX","Unicode","Answer","44","600"
"TXT","System.String[]","System.String[]","setur.com.tr","TXT","Unicode","Answer","16","7200"
"TXT","System.String[]","System.String[]","setur.com.tr","TXT","Unicode","Answer","16","7200"
"TXT","System.String[]","System.String[]","setur.com.tr","TXT","Unicode","Answer","16","7200"
"TXT","System.String[]","System.String[]","setur.com.tr","TXT","Unicode","Answer","16","7200"
"TXT","System.String[]","System.String[]","setur.com.tr","TXT","Unicode","Answer","16","7200"
"TXT","System.String[]","System.String[]","setur.com.tr","TXT","Unicode","Answer","24","7200"
"A",,,"setur.com.tr","A","Unicode","Answer","4","7200"
"SOA",,,"setur.com.tr","SOA","Unicode","Answer","138","7200"
"NS",,,"setur.com.tr","NS","Unicode","Answer","52","7200"
"NS",,,"setur.com.tr","NS","Unicode","Answer","52","7200"
"TXT","System.String[]","System.String[]","bcdme.com.tr","TXT","Unicode","Answer","24","460"
"TXT","System.String[]","System.String[]","bcdme.com.tr","TXT","Unicode","Answer","16","460"
"A",,,"bcdme.com.tr","A","Unicode","Answer","4","3460"
"SOA",,,"bcdme.com.tr","SOA","Unicode","Answer","126","460"
"MX",,,"bcdme.com.tr","MX","Unicode","Answer","60","460"
"MX",,,"bcdme.com.tr","MX","Unicode","Answer","60","460"
"MX",,,"bcdme.com.tr","MX","Unicode","Answer","58","460"
"NS",,,"bcdme.com.tr","NS","Unicode","Answer","50","460"
"NS",,,"bcdme.com.tr","NS","Unicode","Answer","50","460"
"NS",,,"bcdme.com.tr","NS","Unicode","Answer","52","460"
"NS",,,"bcdme.com.tr","NS","Unicode","Answer","52","460"
"MX",,,"bookersclub.com","MX","Unicode","Answer","58","7200"
"MX",,,"bookersclub.com","MX","Unicode","Answer","60","7200"
"MX",,,"bookersclub.com","MX","Unicode","Answer","60","7200"
"TXT","System.String[]","System.String[]","bookersclub.com","TXT","Unicode","Answer","16","7200"
"TXT","System.String[]","System.String[]","bookersclub.com","TXT","Unicode","Answer","16","7200"
"TXT","System.String[]","System.String[]","bookersclub.com","TXT","Unicode","Answer","24","7200"
"A",,,"bookersclub.com","A","Unicode","Answer","4","7200"
"SOA",,,"bookersclub.com","SOA","Unicode","Answer","138","7200"
"NS",,,"bookersclub.com","NS","Unicode","Answer","52","7200"
"NS",,,"bookersclub.com","NS","Unicode","Answer","52","7200"
"MX",,,"bookinturkey.com","MX","Unicode","Answer","60","3600"
"MX",,,"bookinturkey.com","MX","Unicode","Answer","60","3600"
"MX",,,"bookinturkey.com","MX","Unicode","Answer","58","3600"
"SOA",,,"bookinturkey.com","SOA","Unicode","Answer","138","3600"
"A",,,"bookinturkey.com","A","Unicode","Answer","4","3600"
"TXT","System.String[]","System.String[]","bookinturkey.com","TXT","Unicode","Answer","24","3600"
"NS",,,"bookinturkey.com","NS","Unicode","Answer","52","3600"
"NS",,,"bookinturkey.com","NS","Unicode","Answer","52","3600"
"MX",,,"kocturizm.com","MX","Unicode","Answer","60","3461"
"MX",,,"kocturizm.com","MX","Unicode","Answer","60","3461"
"MX",,,"kocturizm.com","MX","Unicode","Answer","58","3461"
"SOA",,,"kocturizm.com","SOA","Unicode","Answer","138","3461"
"TXT","System.String[]","System.String[]","kocturizm.com","TXT","Unicode","Answer","16","3461"
"TXT","System.String[]","System.String[]","kocturizm.com","TXT","Unicode","Answer","24","3461"
"TXT","System.String[]","System.String[]","kocturizm.com","TXT","Unicode","Answer","16","3461"
"NS",,,"kocturizm.com","NS","Unicode","Answer","52","3461"
"NS",,,"kocturizm.com","NS","Unicode","Answer","52","3461"
"SOA",,,"seturacademia.com","SOA","Unicode","Answer","116","43049"
